id,source_entity_id,target_entity_id,type,confidence,timestamp,properties
R000031,P079,ACC096,TRANSACTION_WITH,0.58,2026-08-16T06:13:53,"{""amount"": 408724, ""currency"": ""INR"", ""transaction_type"": ""bank_transfer""}"
R000032,ORG077,ORG042,CONNECTED_TO,0.51,2026-01-15T12:16:14,"{""relationship_note"": ""Organizational link recorded"", ""source_type"": ""corporate_record""}"
R000033,ORG047,ORG040,PARTNERED_WITH,0.53,2025-07-05T23:42:52,"{""relationship_note"": ""Organizational link recorded"", ""source_type"": ""corporate_record""}"
R000034,ORG073,ORG011,TRANSACTION_WITH,0.86,2025-03-08T12:41:45,"{""amount"": 428331, ""currency"": ""INR"", ""transaction_type"": ""bank_transfer""}"
R000035,PH195,PH137,COMMUNICATED_WITH,0.56,2026-08-18T20:11:18,"{""contact_count"": 61, ""source_type"": ""telecom_record""}"
R000036,V141,LOC022,SEEN_AT,0.76,2025-07-25T21:00:49,"{""observation"": ""Vehicle observed in use"", ""source_type"": ""CCTV""}"
R000037,ACC156,ACC109,TRANSFERRED_TO,0.96,2025-06-14T12:12:16,"{""amount"": 396476, ""currency"": ""INR"", ""transaction_type"": ""cash_deposit""}"
R000038,ACC183,ACC080,TRANSACTION_WITH,0.99,2025-11-06T21:45:19,"{""amount"": 341223, ""currency"": ""INR"", ""transaction_type"": ""wire_transfer""}"
R000039,P033,P028,ASSOCIATED,0.83,2025-08-05T07:11:32,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000040,P028,P027,ASSOCIATED,0.56,2026-02-23T20:02:56,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000041,P027,P036,CALLED,0.73,2026-03-24T13:21:49,"{""duration_seconds"": 3228, ""source_type"": ""call_record"", ""verified"": false}"
R000042,P036,P042,MET,0.55,2025-05-28T21:29:53,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": false}"
R000043,P289,P290,CALLED,0.55,2026-05-17T21:39:49,"{""duration_seconds"": 1664, ""source_type"": ""call_record"", ""verified"": false}"
R000044,P290,P299,ASSOCIATED,0.59,2025-07-13T03:17:24,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000045,P299,P277,CALLED,0.57,2025-12-15T10:45:45,"{""duration_seconds"": 766, ""source_type"": ""call_record"", ""verified"": false}"
R000046,P277,P297,MET,0.93,2025-07-14T00:43:46,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": false}"
R000047,P429,P427,ASSOCIATED,0.92,2026-08-09T07:28:44,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000048,P427,P446,ASSOCIATED,0.74,2025-11-12T16:06:25,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000049,P446,P443,ASSOCIATED,0.94,2025-11-08T11:55:58,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000050,P443,P426,ASSOCIATED,0.5,2025-10-22T08:34:15,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000051,P309,P315,CALLED,0.82,2026-03-08T16:16:20,"{""duration_seconds"": 2008, ""source_type"": ""call_record"", ""verified"": true}"
R000052,P315,P310,ASSOCIATED,0.61,2025-08-19T11:02:05,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000053,P310,P314,ASSOCIATED,0.86,2026-03-26T20:42:11,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000054,P314,P323,ASSOCIATED,0.65,2026-08-04T23:16:30,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000055,P044,P041,CALLED,0.92,2025-03-04T05:23:09,"{""duration_seconds"": 295, ""source_type"": ""call_record"", ""verified"": true}"
R000056,P041,P042,CALLED,0.7,2025-07-02T16:31:06,"{""duration_seconds"": 2348, ""source_type"": ""call_record"", ""verified"": true}"
R000057,P042,P031,CALLED,0.52,2026-04-07T18:38:25,"{""duration_seconds"": 350, ""source_type"": ""call_record"", ""verified"": false}"
R000058,P031,P027,CALLED,0.78,2026-03-30T08:26:24,"{""duration_seconds"": 1310, ""source_type"": ""call_record"", ""verified"": false}"
R000059,P172,P173,MET,0.83,2025-04-12T15:44:52,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": false}"
R000060,P173,P161,MET,0.96,2026-08-07T23:46:11,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": false}"
R000061,P161,P158,CALLED,0.99,2026-03-14T06:57:43,"{""duration_seconds"": 315, ""source_type"": ""call_record"", ""verified"": true}"
R000062,P158,P159,CALLED,0.56,2025-07-25T23:41:38,"{""duration_seconds"": 1444, ""source_type"": ""call_record"", ""verified"": true}"
R000063,P187,P185,CALLED,0.8,2025-08-23T23:19:41,"{""duration_seconds"": 3320, ""source_type"": ""call_record"", ""verified"": true}"
R000064,P185,P181,CALLED,0.65,2026-03-07T18:32:09,"{""duration_seconds"": 2732, ""source_type"": ""call_record"", ""verified"": true}"
R000065,P181,P190,ASSOCIATED,0.56,2025-07-25T10:00:07,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000066,P190,P193,ASSOCIATED,0.77,2026-07-31T15:39:00,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000067,P210,P220,ASSOCIATED,0.81,2026-06-18T23:52:31,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000068,P220,P207,MET,0.74,2026-01-28T13:30:27,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": true}"
R000069,P207,P223,CALLED,0.91,2025-11-26T00:01:28,"{""duration_seconds"": 195, ""source_type"": ""call_record"", ""verified"": true}"
R000070,P223,P211,MET,0.56,2026-08-22T22:42:15,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": true}"
R000071,P368,P373,ASSOCIATED,0.94,2026-06-21T17:32:21,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000072,P373,P364,CALLED,0.91,2025-01-28T23:36:47,"{""duration_seconds"": 2400, ""source_type"": ""call_record"", ""verified"": true}"
R000073,P364,P351,MET,0.52,2025-04-09T23:45:24,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": true}"
R000074,P351,P354,MET,0.83,2025-06-13T04:06:37,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": true}"
R000075,P300,P293,ASSOCIATED,0.92,2025-07-03T21:06:13,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000076,P293,P289,ASSOCIATED,0.51,2025-11-17T05:43:29,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000077,P289,P295,CALLED,0.88,2025-09-16T00:23:09,"{""duration_seconds"": 1701, ""source_type"": ""call_record"", ""verified"": true}"
R000078,P295,P299,MET,0.89,2025-05-04T15:39:46,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": false}"
R000079,P041,P033,MET,0.61,2025-06-26T18:41:14,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": true}"
R000080,P033,P032,MET,0.64,2025-09-12T23:14:46,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": false}"
R000081,P032,P040,MET,0.75,2026-05-14T06:05:10,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": false}"
R000082,P040,P037,ASSOCIATED,0.93,2025-03-31T14:07:33,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000083,P206,P219,CALLED,0.67,2025-12-04T12:51:20,"{""duration_seconds"": 3236, ""source_type"": ""call_record"", ""verified"": false}"
R000084,P219,P209,MET,0.98,2026-04-16T20:33:07,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": false}"
R000085,P209,P202,CALLED,0.62,2025-05-28T15:19:30,"{""duration_seconds"": 2918, ""source_type"": ""call_record"", ""verified"": false}"
R000086,P202,P204,ASSOCIATED,0.95,2026-02-08T20:01:03,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000087,P447,P449,ASSOCIATED,0.95,2026-05-31T22:17:16,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000088,P449,P432,CALLED,0.83,2025-09-01T19:48:42,"{""duration_seconds"": 525, ""source_type"": ""call_record"", ""verified"": false}"
R000089,P432,P437,CALLED,0.83,2025-08-29T05:29:02,"{""duration_seconds"": 1351, ""source_type"": ""call_record"", ""verified"": false}"
R000090,P437,P439,CALLED,0.77,2025-08-18T15:24:44,"{""duration_seconds"": 800, ""source_type"": ""call_record"", ""verified"": false}"
R000091,P322,P324,MET,0.77,2025-11-12T09:47:23,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": false}"
R000092,P324,P306,MET,0.71,2025-06-13T06:05:21,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": false}"
R000093,P306,P320,MET,0.72,2025-12-10T03:29:17,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": false}"
R000094,P320,P319,CALLED,0.82,2025-05-12T19:16:36,"{""duration_seconds"": 1177, ""source_type"": ""call_record"", ""verified"": false}"
R000095,P075,P058,ASSOCIATED,0.52,2025-01-19T23:19:20,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000096,P058,P072,MET,0.92,2026-04-20T18:58:21,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": false}"
R000097,P072,P060,MET,0.78,2026-05-05T03:40:39,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": false}"
R000098,P060,P057,MET,0.62,2025-11-07T10:04:09,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": true}"
R000099,P100,P089,ASSOCIATED,0.75,2026-06-25T12:44:08,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000100,P089,P083,ASSOCIATED,0.62,2026-03-09T22:47:49,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000101,P083,P100,ASSOCIATED,0.57,2025-12-21T13:03:54,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000102,P372,P367,MET,0.94,2026-08-10T14:52:50,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": false}"
R000103,P367,P368,MET,0.86,2025-05-04T14:55:06,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": false}"
R000104,P368,P372,MET,0.62,2026-08-07T22:08:06,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": false}"
R000105,P416,P421,MET,0.54,2025-12-08T15:49:10,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": true}"
R000106,P421,P408,MET,0.66,2025-09-18T20:39:06,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": true}"
R000107,P408,P416,ASSOCIATED,0.61,2025-04-28T03:41:14,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000108,P123,P107,MET,0.66,2025-11-13T14:12:10,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": false}"
R000109,P107,P103,ASSOCIATED,0.91,2025-06-10T15:40:20,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000110,P103,P123,MET,0.79,2026-08-21T22:01:59,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": true}"
R000111,P463,P466,MET,0.87,2025-08-20T22:32:35,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": true}"
R000112,P466,P451,MET,0.63,2025-06-20T10:18:56,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": true}"
R000113,P451,P463,MET,0.83,2025-09-19T01:54:31,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": true}"
R000114,P355,P370,ASSOCIATED,0.79,2025-11-03T01:04:11,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000115,P370,P368,ASSOCIATED,0.81,2025-03-07T04:53:38,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000116,P368,P355,ASSOCIATED,0.59,2025-12-25T14:40:58,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000117,P213,P211,MET,0.67,2025-09-11T20:50:50,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": false}"
R000118,P211,P207,MET,0.91,2025-07-15T22:40:55,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": true}"
R000119,P207,P213,ASSOCIATED,0.61,2025-09-29T19:44:01,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000120,P075,P071,ASSOCIATED,0.6,2025-07-12T01:41:41,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000121,P071,P052,ASSOCIATED,0.57,2026-04-28T14:32:10,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000122,P052,P075,ASSOCIATED,0.83,2026-01-03T19:49:04,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000123,P457,P465,MET,0.68,2026-08-19T16:01:00,"{""details"": ""Extended meeting recorded"", ""source_type"": ""surveillance"", ""verified"": true}"
R000124,P465,P473,ASSOCIATED,0.55,2025-08-30T14:11:08,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000125,P473,P457,ASSOCIATED,0.78,2025-08-31T07:18:16,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000126,P313,P323,ASSOCIATED,0.84,2026-04-05T21:30:14,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000127,P323,P307,ASSOCIATED,0.84,2025-03-21T03:34:40,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000128,P307,P313,MET,0.79,2026-06-16T11:30:46,"{""details"": ""Meeting recorded at location"", ""source_type"": ""surveillance"", ""verified"": true}"
R000129,P112,P118,ASSOCIATED,0.71,2025-03-23T23:23:13,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000130,P112,P114,ASSOCIATED,0.94,2026-05-09T16:09:54,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000131,P112,P122,ASSOCIATED,0.57,2026-07-04T09:11:19,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000132,P112,P125,MEMBER_OF,0.76,2026-07-24T22:56:09,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000133,P112,P103,CALLED,0.8,2025-07-29T18:42:02,"{""duration_seconds"": 2219, ""source_type"": ""call_record"", ""verified"": false}"
R000134,P112,P117,ASSOCIATED,0.9,2025-12-05T07:41:49,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000135,P112,P111,CALLED,0.66,2025-07-28T11:15:19,"{""duration_seconds"": 1020, ""source_type"": ""call_record"", ""verified"": true}"
R000136,P112,P101,ASSOCIATED,0.62,2025-12-17T03:33:30,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000137,P112,P123,ASSOCIATED,0.8,2026-03-19T14:46:02,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000138,P120,P113,ASSOCIATED,0.93,2025-08-06T05:12:43,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000139,P120,P111,CALLED,0.77,2025-08-03T14:01:10,"{""duration_seconds"": 2131, ""source_type"": ""call_record"", ""verified"": true}"
R000140,P120,P101,MEMBER_OF,0.85,2025-07-07T11:12:10,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000141,P120,P116,ASSOCIATED,0.87,2026-03-08T05:14:04,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000142,P120,P124,CALLED,0.82,2026-01-05T19:01:07,"{""duration_seconds"": 2025, ""source_type"": ""call_record"", ""verified"": false}"
R000143,P120,P106,MEMBER_OF,0.64,2025-03-14T06:38:24,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000144,P120,P122,ASSOCIATED,0.62,2026-06-22T07:50:50,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000145,P120,P107,CALLED,0.68,2026-03-28T16:58:54,"{""duration_seconds"": 2282, ""source_type"": ""call_record"", ""verified"": false}"
R000146,P120,P112,ASSOCIATED,0.77,2026-08-03T09:14:39,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000147,P120,P109,ASSOCIATED,0.72,2026-06-30T22:09:56,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000148,P259,P260,MEMBER_OF,0.74,2026-07-28T16:35:19,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000149,P259,P258,CALLED,0.98,2026-04-03T22:41:47,"{""duration_seconds"": 2163, ""source_type"": ""call_record"", ""verified"": false}"
R000150,P259,P254,MEMBER_OF,0.65,2025-05-31T18:36:50,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000151,P259,P257,ASSOCIATED,0.65,2025-05-20T09:01:58,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000152,P259,P261,CALLED,0.56,2026-02-19T20:59:59,"{""duration_seconds"": 201, ""source_type"": ""call_record"", ""verified"": true}"
R000153,P259,P272,CALLED,0.84,2025-08-15T21:49:18,"{""duration_seconds"": 532, ""source_type"": ""call_record"", ""verified"": false}"
R000154,P259,P268,MEMBER_OF,0.78,2025-01-10T12:38:37,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000155,P259,P256,ASSOCIATED,0.72,2026-01-07T19:52:46,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000156,P259,P271,MEMBER_OF,0.62,2025-02-09T21:43:53,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000157,P309,P316,CALLED,0.54,2025-08-24T23:54:16,"{""duration_seconds"": 1031, ""source_type"": ""call_record"", ""verified"": true}"
R000158,P309,P304,CALLED,0.7,2026-08-17T18:15:31,"{""duration_seconds"": 2456, ""source_type"": ""call_record"", ""verified"": true}"
R000159,P309,P303,CALLED,0.72,2025-10-23T10:45:37,"{""duration_seconds"": 1828, ""source_type"": ""call_record"", ""verified"": false}"
R000160,P309,P313,CALLED,0.65,2025-11-30T01:58:03,"{""duration_seconds"": 2558, ""source_type"": ""call_record"", ""verified"": true}"
R000161,P309,P325,CALLED,0.55,2026-07-29T20:15:52,"{""duration_seconds"": 3139, ""source_type"": ""call_record"", ""verified"": true}"
R000162,P309,P323,CALLED,0.63,2025-06-13T21:47:41,"{""duration_seconds"": 347, ""source_type"": ""call_record"", ""verified"": true}"
R000163,P309,P319,MEMBER_OF,0.77,2025-05-16T00:07:09,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000164,P309,P302,MEMBER_OF,0.7,2025-01-03T01:52:44,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000165,P309,P305,CALLED,0.73,2026-04-07T05:26:34,"{""duration_seconds"": 148, ""source_type"": ""call_record"", ""verified"": true}"
R000166,P309,P317,ASSOCIATED,0.64,2026-07-04T02:36:42,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000167,P014,P015,CALLED,0.95,2025-04-26T17:21:49,"{""duration_seconds"": 3400, ""source_type"": ""call_record"", ""verified"": true}"
R000168,P014,P003,MEMBER_OF,0.58,2025-02-16T07:44:01,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000169,P014,P022,ASSOCIATED,0.87,2026-04-08T04:25:29,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000170,P014,P008,CALLED,0.72,2025-08-13T04:05:28,"{""duration_seconds"": 1934, ""source_type"": ""call_record"", ""verified"": false}"
R000171,P014,P009,CALLED,0.96,2025-11-09T15:18:09,"{""duration_seconds"": 2064, ""source_type"": ""call_record"", ""verified"": false}"
R000172,P014,P019,ASSOCIATED,0.79,2025-03-04T11:32:41,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000173,P014,P007,ASSOCIATED,0.66,2026-07-25T12:42:17,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000174,P014,P004,ASSOCIATED,0.54,2025-01-21T02:09:23,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000175,P014,P023,CALLED,0.79,2026-03-23T18:29:18,"{""duration_seconds"": 99, ""source_type"": ""call_record"", ""verified"": false}"
